Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
apigenin MCF7 DOWN	1/87	0.3455041038207423	0.5276089738281718	0	0	2.40031492248062	2.550936503129148	INTS7
ellipticine HL60 UP	1/87	0.3455041038207423	0.5276089738281718	0	0	2.40031492248062	2.550936503129148	TFAM
tanespimycin MCF7 UP	1/87	0.3455041038207423	0.5276089738281718	0	0	2.40031492248062	2.550936503129148	OSBPL1A
Gefitinib	1/88	0.3486922721236938	0.5316309840486841	0	0	2.3726053639846745	2.499695126971941	NLK
PNU-0293363 MCF7 UP	2/255	0.35135159507052327	0.5347679900146403	0	0	1.6351154566257542	1.7102782175062337	YIPF5;PRPF40A
metoclopramide HL60 DOWN	1/89	0.3518650695508217	0.5347679900146403	0	0	2.3455255681818183	2.44991905212596	TSN
proscillaridin HL60 DOWN	4/620	0.3543280835691981	0.536167943498091	0	0	1.3466694595726854	1.3972126648792553	USP34;PLOD2;FBXO9;APPL1
carbamazepine CTD 00005574	3/436	0.3547019769560663	0.536167943498091	0	0	1.4350646159893863	1.4874119611004064	RAD50;YWHAB;EIF2AK4
Caspan CTD 00000180	5/808	0.35488477589243744	0.536167943498091	0	0	1.2927066977096757	1.3391951674048357	HIBADH;PLOD2;PKP4;SMC3;DCAF7
fenofibrate CTD 00006620	1/90	0.3550225694695389	0.536167943498091	0	0	2.319054307116105	2.401552149209679	ACOX1
L-carnitine BOSS	1/91	0.3581648448967738	0.5392152060533847	0	0	2.2931712962962965	2.3545410042488277	TFAM
LITHIUM BOSS	1/91	0.3581648448967738	0.5392152060533847	0	0	2.2931712962962965	2.3545410042488277	TLK2
ellipticine CTD 00001632	1/92	0.36129196847020584	0.5422206537760992	0	0	2.267857142857143	2.308834760127263	RECQL
bezafibrate CTD 00005506	1/92	0.36129196847020584	0.5422206537760992	0	0	2.267857142857143	2.308834760127263	ACOX1
KIN001-111/A770041 LINCS	1/93	0.3644040124557009	0.5451847861856742	0	0	2.2430932971014492	2.264384968655501	NLK
benzene BOSS	1/93	0.3644040124557009	0.5451847861856742	0	0	2.2430932971014492	2.264384968655501	NLK
5-Fluorouracil CTD 00005987	7/1202	0.3653595270682781	0.5457629072561974	0	0	1.217629009762901	1.2259982665179767	SMIM14;M6PR;HDGFRP3;PLOD2;WDR61;BUB3;KPNA3
levodopa BOSS	1/94	0.3675010488711142	0.5481080962167939	0	0	2.218862007168459	2.2211454519551257	RECQL
geldanamycin MCF7 UP	1/95	0.3705831492494129	0.5509910699692822	0	0	2.195146276595745	2.1790721753020135	FKBP14
Cornstarch BOSS	1/95	0.3705831492494129	0.5509910699692822	0	0	2.195146276595745	2.1790721753020135	NLK
tretinoin MCF7 UP	1/96	0.37365038495554814	0.5538341872834168	0	0	2.1719298245614036	2.138123125116582	ZKSCAN1
luteolin BOSS	1/96	0.37365038495554814	0.5538341872834168	0	0	2.1719298245614036	2.138123125116582	RECQL
apigenin PC3 DOWN	1/97	0.3767028269367857	0.5566379214674537	0	0	2.149197048611111	2.0982581982792996	C8ORF44-SGK3
Gefitinib BOSS	1/97	0.3767028269367857	0.5566379214674537	0	0	2.149197048611111	2.0982581982792996	SMC3
MG-132 MCF7 UP	2/270	0.37753579147064287	0.5570104984928408	0	0	1.5424194815396701	1.5024552430729206	BRAP;OSBPL1A
ciclopirox PC3 UP	1/98	0.3797405457787955	0.5585447598188112	0	0	2.126932989690722	2.0594390968586938	PLOD2
Erlotinib BOSS	1/98	0.3797405457787955	0.5585447598188112	0	0	2.126932989690722	2.0594390968586938	SMC3
0297417-0002B MCF7 DOWN	1/99	0.3827636117976207	0.5612695775442175	0	0	2.105123299319728	2.0216292294278198	ANP32A
okadaic acid CTD 00007275	1/99	0.3827636117976207	0.5612695775442175	0	0	2.105123299319728	2.0216292294278198	MED1
N-acetyl-L-aspartic acid PC3 DOWN	1/100	0.38577209484285213	0.5639564618205719	0	0	2.083754208754209	1.9847936202473102	BRAP
myricetin CTD 00001847	1/100	0.38577209484285213	0.5639564618205719	0	0	2.083754208754209	1.9847936202473102	RECQL
Crizotinib Kinome Scan	1/101	0.3887660646223936	0.5666058601411481	0	0	2.0628125	1.9488988213610898	DSTYK
Phenethyl isothiocyanate CTD 00002443	1/101	0.3887660646223936	0.5666058601411481	0	0	2.0628125	1.9488988213610898	YWHAB
cyclosporin A CTD 00007121	25/4825	0.38968098518500555	0.567077488304128	0	0	1.0925202546296295	1.0296204344742574	ANP32A;HIBADH;FKBP14;ABHD2;PLOD2;SMC3;UBE2J1;SPTLC2;TLK2;ZNF567;MYH10;BRAP;SMIM14;GALNT7;ANKIB1;YIPF5;HDGFRP3;C12ORF4;RAD50;GPAM;ACOX1;SERBP1;YME1L1;TRIP11;OSBPL1A
CHIR-258/TKI-258 Kinome Scan	1/103	0.3947107411849564	0.5726590027176599	0	0	2.0221609477124183	1.8798050294414548	EIF2AK4
ciclopirox MCF7 UP	1/103	0.3947107411849564	0.5726590027176599	0	0	2.0221609477124183	1.8798050294414548	PLOD2
Doxorubicin Hydrochloride	1/104	0.39766158549441893	0.5751997895763917	0	0	2.0024271844660193	1.8465460838770262	RECQL
beta-carotene CTD 00007253	1/104	0.39766158549441893	0.5751997895763917	0	0	2.0024271844660193	1.8465460838770262	SPTLC2
verteporfin HL60 DOWN	2/283	0.3998804157442767	0.5768063278312511	0	0	1.4700880314665667	1.3474676024391297	GALNT7;M6PR
vincristine CTD 00006988	7/1245	0.3999751908318894	0.5768063278312511	0	0	1.1726350744929097	1.0745473831357157	CBX3;USP34;UTP20;BUB3;ZNF830;FBXO9;UBE2J1
tyrphostin AG-1478 MCF7 UP	1/105	0.40059819174720873	0.5768373361645243	0	0	1.9830729166666667	1.8141079048619675	FKBP14
scriptaid PC3 UP	4/664	0.4029345679536394	0.577576540506236	0	0	1.2540241120886282	1.139884207572594	ABHD2;RECQL;PLOD2;MYH10
Tanshinone I CTD 00001048	1/106	0.40352062788235465	0.577576540506236	0	0	1.9640873015873015	1.7824635728667912	PLOD2
buflomedil PC3 DOWN	1/106	0.40352062788235465	0.577576540506236	0	0	1.9640873015873015	1.7824635728667912	INTS7
kaempferol CTD 00000297	1/106	0.40352062788235465	0.577576540506236	0	0	1.9640873015873015	1.7824635728667912	TFAM
(2E,4E,6E,8E)-3,7-DIMETHYL-9-(2,6,6-TRIMETHYL-3-OXO-1-CYCLOHEXENYL)NONA-2,4,6,8-TETRAENOIC ACID CTD 00000070	1/107	0.40642896153708946	0.5800079971935547	0	0	1.9454599056603774	1.7515872808523996	CBX3
alexidine MCF7 DOWN	1/107	0.40642896153708946	0.5800079971935547	0	0	1.9454599056603774	1.7515872808523996	BICD2
daunorubicin BOSS	1/108	0.409323260133277	0.5832704405168093	0	0	1.9271806853582554	1.721454278323343	RECQL
valproic acid HL60 UP	2/289	0.41007060682243957	0.5834684153452813	0	0	1.4389143590684028	1.2826855597130218	YIPF5;RECQL
phenytoin CTD 00006527	1/109	0.4122035906606402	0.5847681116028906	0	0	1.9092399691358024	1.6920408200728192	SMC3
lomustine PC3 DOWN	1/109	0.4122035906606402	0.5847681116028906	0	0	1.9092399691358024	1.6920408200728192	ZNF22
docetaxel CTD 00002688	1/110	0.4150700198194394	0.5876653766247029	0	0	1.8916284403669725	1.6633241162204953	RAD50
luteolin HL60 DOWN	2/293	0.41681812994457335	0.5876653766247029	0	0	1.418846084282872	1.2416397162386732	PKP4;UBE2J1
