gene,logFC,pval,abs_logFC
1563364_at,0.551934150530196,1.2869776688983307e-05,0.551934150530196
204150_at,0.7497076968807823,1.287265802238751e-05,0.7497076968807823
202716_at,-0.524568761552942,1.2883860357837286e-05,0.524568761552942
204082_at,-0.9198547555486272,1.2886710293553175e-05,0.9198547555486272
213510_x_at,-0.9011080564066667,1.2891974756336085e-05,0.9011080564066667
218431_at,-0.5938428991133318,1.289477513854145e-05,0.5938428991133318
220290_at,0.2769168977039218,1.2896936180694713e-05,0.2769168977039218
1554989_at,0.18899702897960724,1.2904188130444786e-05,0.18899702897960724
205794_s_at,-0.8781734368968621,1.2905038204885947e-05,0.8781734368968621
230005_at,-0.6282410240603928,1.2908732747206906e-05,0.6282410240603928
242927_at,-0.4581873709000006,1.2916861487691791e-05,0.4581873709000006
229699_at,-1.004749065731371,1.2930304162810439e-05,1.004749065731371
206800_at,0.36094439533607936,1.2931422699717036e-05,0.36094439533607936
1560939_at,0.3290849664882356,1.2933674266388294e-05,0.3290849664882356
1562733_at,0.884795274705489,1.2935838391116704e-05,0.884795274705489
235798_at,-1.2189276975545082,1.2963363976539983e-05,1.2189276975545082
1559052_s_at,-0.5232846043933321,1.296787058855891e-05,0.5232846043933321
204825_at,-1.8184331098890194,1.2979338044518207e-05,1.8184331098890194
212048_s_at,-0.4981902646603942,1.2982993245987658e-05,0.4981902646603942
225853_at,-0.5116946773443143,1.2995304696596166e-05,0.5116946773443143
205356_at,-0.7568553457125509,1.3008296810104782e-05,0.7568553457125509
219402_s_at,0.5619071668235289,1.3023656208213082e-05,0.5619071668235289
209364_at,1.3301372050603915,1.3027699463381608e-05,1.3301372050603915
202335_s_at,-0.5444939945047058,1.3035293472215298e-05,0.5444939945047058
213319_s_at,0.29387193368039144,1.3046111996868023e-05,0.29387193368039144
236125_at,-0.8214526339764703,1.3069325397416003e-05,0.8214526339764703
228743_at,-0.7208194357803928,1.3074950561639139e-05,0.7208194357803928
231991_at,1.0766239214780384,1.3083446922977674e-05,1.0766239214780384
216231_s_at,-0.4658985191843179,1.3094656197308458e-05,0.4658985191843179
47553_at,1.6487978689349,1.3096038949759777e-05,1.6487978689349
1559218_s_at,0.22371940850666672,1.3099115131064133e-05,0.22371940850666672
238611_at,1.546241255877646,1.3102897767026865e-05,1.546241255877646
243958_at,-0.6970728534199995,1.3107849974261674e-05,0.6970728534199995
231472_at,-1.3923662304301967,1.313228487637843e-05,1.3923662304301967
201292_at,-1.9553519611149008,1.31844255114576e-05,1.9553519611149008
219692_at,0.6922005760086272,1.321238796796671e-05,0.6922005760086272
211326_x_at,0.3203720541521564,1.3221246783968528e-05,0.3203720541521564
242263_at,-1.1458208828266665,1.323145564755381e-05,1.1458208828266665
231921_at,-0.7898459533556865,1.3236200225274735e-05,0.7898459533556865
218618_s_at,-0.8943615099913735,1.3238054898224238e-05,0.8943615099913735
217651_at,0.2754473126545096,1.327967655789201e-05,0.2754473126545096
241849_at,0.2440952610490199,1.3283184534632463e-05,0.2440952610490199
231189_at,0.24261013374509766,1.3324042629353221e-05,0.24261013374509766
211658_at,0.6243892794082342,1.3341713747816e-05,0.6243892794082342
211215_x_at,-1.4800280534180392,1.334405390677978e-05,1.4800280534180392
219630_at,2.17994334929608,1.3354672696601476e-05,2.17994334929608
209568_s_at,-0.5134377506992163,1.338949725734654e-05,0.5134377506992163
202772_at,0.41450258462666767,1.3398322429388144e-05,0.41450258462666767
201240_s_at,-0.32849241688627373,1.3401480997924497e-05,0.32849241688627373
202552_s_at,-0.6016141073690209,1.3418668179493503e-05,0.6016141073690209
215095_at,-0.5871975486533336,1.342301949759153e-05,0.5871975486533336
209043_at,-0.9257804930180384,1.3440091696652582e-05,0.9257804930180384
213931_at,1.7100877934972534,1.3445774149042311e-05,1.7100877934972534
231447_at,0.23705054986901963,1.3453587245828901e-05,0.23705054986901963
220516_at,0.2782965670333337,1.346813622323463e-05,0.2782965670333337
1553158_at,-0.8612013503486278,1.3471895093543793e-05,0.8612013503486278
220936_s_at,-0.785678897104706,1.347291755910289e-05,0.785678897104706
217572_at,0.2775096569819615,1.3473784885699516e-05,0.2775096569819615
210367_s_at,0.7581513055133331,1.3486979018920228e-05,0.7581513055133331
206855_s_at,0.9029970235368641,1.3514034649903652e-05,0.9029970235368641
229618_at,-0.7910424803156868,1.3529847770582336e-05,0.7910424803156868
1555358_a_at,-1.1470829853062745,1.3537844533390377e-05,1.1470829853062745
236031_x_at,-1.5752602754768636,1.3557394674578303e-05,1.5752602754768636
1561038_at,0.35627505090039246,1.3573182656639617e-05,0.35627505090039246
203604_at,-0.7489638215254892,1.3592682756856161e-05,0.7489638215254892
223887_at,0.24478478620823507,1.3625114894281495e-05,0.24478478620823507
210320_s_at,-1.1154630721627452,1.3632962763953061e-05,1.1154630721627452
219620_x_at,0.7773433427615686,1.364710051032639e-05,0.7773433427615686
235039_x_at,-0.5766729580658816,1.3647349220682042e-05,0.5766729580658816
218966_at,-0.9929638278525488,1.3665163259445468e-05,0.9929638278525488
207692_s_at,0.2798831328274507,1.3671127336483788e-05,0.2798831328274507
213383_at,1.0709449483352946,1.3673694584948918e-05,1.0709449483352946
210499_s_at,0.6343663353745095,1.3679426188253985e-05,0.6343663353745095
217141_at,0.4907431060027463,1.3680239715245413e-05,0.4907431060027463
238797_at,0.7586688447721563,1.3680619657645451e-05,0.7586688447721563
216598_s_at,1.113721502521961,1.3703079238252442e-05,1.113721502521961
224113_at,0.2642994450988221,1.3733436230328585e-05,0.2642994450988221
244160_at,0.26087776937019536,1.373920096314605e-05,0.26087776937019536
235475_at,-0.7891556848031369,1.3752352443718871e-05,0.7891556848031369
224855_at,0.5373946177094115,1.3756548394291261e-05,0.5373946177094115
219262_at,-1.1714084101427455,1.3764405058787544e-05,1.1714084101427455
212076_at,-0.800897543545882,1.3780998937288001e-05,0.800897543545882
41220_at,0.4510367670886275,1.3812229802900038e-05,0.4510367670886275
1566647_s_at,0.24116085993098135,1.3814794016677461e-05,0.24116085993098135
224822_at,-0.9539272821372542,1.3822626193746201e-05,0.9539272821372542
232315_at,-1.352901338482745,1.3850704304885991e-05,1.352901338482745
1555281_x_at,-0.7455108488403912,1.3856119349112418e-05,0.7455108488403912
223606_x_at,-0.6875268219886284,1.3859801158169994e-05,0.6875268219886284
240350_at,0.3032794003996071,1.3861536119825993e-05,0.3032794003996071
