sig_id,drug,pert_id,similarity_scores
CPC006_VCAP_24H:BRD-K04623885-001-03-4:80,BIBR-1532,BRD-K04623885-001-03-4,0.02
CPC014_HT29_6H:BRD-K94018295-001-06-5:10,EMF-sumo1-3,BRD-K94018295-001-06-5,0.02
CPC019_MCF7_6H:BRD-K79131428-001-01-6:10,BRD-K79131428,BRD-K79131428-001-01-6,0.02
CPC001_HCC515_24H:BRD-K94441233-001-03-1:10,mevastatin,BRD-K94441233-001-03-1,0.02
CPC009_VCAP_24H:BRD-K38625260-019-01-0:10,BRD-K38625260,BRD-K38625260-019-01-0,0.02
CPC013_PC3_24H:BRD-K68202742-001-05-8:10,trichostatin-a,BRD-K68202742-001-05-8,0.02
CPC018_MCF7_6H:BRD-A28970875-300-03-1:10,puromycin,BRD-A28970875-300-03-1,0.02
CPC006_SNUC5_6H:BRD-K61829047-001-01-6:10,7b-cis,BRD-K61829047-001-01-6,0.02
CPC015_MCF7_6H:BRD-K77695569-001-16-9:10,tiabendazole,BRD-K77695569-001-16-9,0.02
CPC019_A549_24H:BRD-K34363599-001-02-0:10,RJC-00245SC,BRD-K34363599-001-02-0,0.02
CPC019_HT29_6H:BRD-K23582869-001-01-3:10,BRD-K23582869,BRD-K23582869-001-01-3,0.02
CPC012_MCF7_6H:BRD-K74761218-001-03-5:10,WT-171,BRD-K74761218-001-03-5,0.02
CPC019_HT29_6H:BRD-K65904652-001-01-9:10,BRD-K65904652,BRD-K65904652-001-01-9,0.02
CPC004_PC3_6H:BRD-K88741031-001-01-0:10,"methyl-2,5-dihydroxycinnamate",BRD-K88741031-001-01-0,0.02
CPC008_PC3_6H:BRD-K95337198-001-04-1:10,BRD-K95337198,BRD-K95337198-001-04-1,0.02
CPC010_A375_6H:BRD-K29359156-001-22-8:10,ebselen,BRD-K29359156-001-22-8,0.02
CPC009_A549_6H:BRD-K97534490-001-06-1:10,BRD-K97534490,BRD-K97534490-001-06-1,0.02
CPC004_HA1E_6H:BRD-A11678676-001-03-4:10,wortmannin,BRD-A11678676-001-03-4,0.02
CPC005_HA1E_24H:BRD-A71765365-001-01-6:10,mepireserpate,BRD-A71765365-001-01-6,0.02
CPC012_VCAP_24H:BRD-K86472598-001-02-7:10,MD-II-051,BRD-K86472598-001-02-7,0.02
CPC008_PC3_24H:BRD-A11512624-001-04-6:10,BRD-A11512624,BRD-A11512624-001-04-6,0.02
CPC011_A549_6H:BRD-K32744045-001-25-4:10,disulfiram,BRD-K32744045-001-25-4,0.02
CPC019_HT29_6H:BRD-K46373671-001-01-8:10,BRD-K46373671,BRD-K46373671-001-01-8,0.02
LJP002_SKBR3_6H:BRD-K42918627-001-01-9:10,GSK-2126458,BRD-K42918627-001-01-9,0.02
LJP001_MCF10A_6H:BRD-K92571446-001-01-4:2,WZ-3105,BRD-K92571446-001-01-4,0.02
HOG001_A549_24H:BRD-K74402642-003-01-2:3.3333,NSC-632839,BRD-K74402642-003-01-2,0.02
MUC.CP001_MCF7_6H:BRD-K64634304-001-01-5:13.3333,tretinoin,BRD-K64634304-001-01-5,0.02
CPC016_A375_6H:BRD-A97104540-004-08-5:10,fenoterol,BRD-A97104540-004-08-5,0.02
CPC004_HA1E_6H:BRD-A22032524-074-04-0:10,amlodipine,BRD-A22032524-074-04-0,0.02
CPC014_MCF7_6H:BRD-K23192422-001-01-1:10,lestaurtinib,BRD-K23192422-001-01-1,0.02
CPC010_PC3_24H:BRD-K93229693-001-03-4:10,BRD-K93229693,BRD-K93229693-001-03-4,0.02
